Tipo de convocatoria,Título,Órgano convocante,Localización,Importe,Procedimiento,Actividad,Enlace al detalle de la convocatoria,Enlace original
LICITACION,"Servicio de creación de contenidos, diseño y maquetación de 4 libros interactivos y su promoción del turismo sostenible en Roses, en el marco de la estrategia de sostenibilidad turística en destinos, dentro del Plan de recuperación, transformación y resiliencia, financiado por los fondos Next Generation EU",Ayuntamiento de Roses,ES512-Roses,"69.000,00 euros",Procedimiento de contratación abierto,79970000-4 - Servicios de edición. 79342200-5 - Servicios de promoción,https://contractaciopublica.cat/ca/detall-publicacio/300286116,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14643/servicio-de-creacion-de-contenidos-diseno-y-maquetacion-de-4-libros-interactivos-y-su-promocion-del-turismo-sostenible-en-roses-en-el-marco-de-la-estrategia-de-sostenibilidad-turistica-en-destinos-dentro-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-los-fondos-next-generation-eu
LICITACION,OBRAS POR LA INSTALACIÓN SOLAR FOTOVOLTAICA POR AUTOCONSUMO EN LA CUBIERTA DEL AYUNTAMIENTO DE HOSTELLRIC,Ayuntamiento de Hostalric,ES512 - Hostalric,"53.452,70 euros",Procedimiento de contratación abierto simplificado abreviado,09331000-8 - Placas solares. 09332000-5 - Instalación solar,https://contractaciopublica.cat/ca/detall-publicacio/300285408,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14644/obras-por-la-instalacion-solar-fotovoltaica-por-autoconsumo-en-la-cubierta-del-ayuntamiento-de-hostellric
LICITACION,"Contrato mixto de servicios y de suministros integrados en el PSTD de Tolosaldea: actuación 4 (Puesta en valor de productos locales para el turista) del Eje 4 (Competitividad) en el marco del Plan de Recuperación, Transformación y Resiliencia- Financiado por la Unión Europea -NextGenerationEU","Tolosaldea Garatzen, S.A.",ES212 - Gipuzkoa,"93.546,94 euros",Procedimiento de contratación abierto,"63514000-5 - Servicios de guías de turismo. 55900000-9 - Servicios comerciales al por menor. 63513000-8 - Servicios de información turística. 72212224-5 - Servicios de desarrollo de software de edición de páginas web. 79952100-3 - Servicios de organización de eventos culturales (Servicios administrativos sociales, educativos, sanitarios y culturales). 79340000-9 - Servicios de publicidad y de marketing. 79822500-7 - Servicios de diseño gráfico. 79932000-6 - Servicios de diseño de interiores. 92521000-9 - Servicios de museos (Servicios administrativos sociales, educativos, sanitarios y culturales)",https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expjaso558049/es_doc/index.html?ruta=informacionAmpliadaAnuncios&busquedaAvanzada=,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14649/contrato-mixto-de-servicios-y-de-suministros-integrados-en-el-pstd-de-tolosaldea-actuacion-4-puesta-en-valor-de-productos-locales-para-el-turista-del-eje-4-competitividad-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-nextgenerationeu
LICITACION,Ejecución de las obras de la primera fase de desarrollo del proyecto de digitalización e integración de instalaciones en el sistema de supervisión de Urbide: SCADA central. expediente 24/118 financiado con fondos procedentes del Mecanismo para la Recuperación y Resiliencia -NEXT GENERATION EU en el marco del componente 5 “preservación del litoral y recursos hídricos” inversión3 denominada “transición digital en el sector del agua”,Urbide Arabako Ur Partzuergoa – Consorcio de Aguas de Álava,ES211 - Araba/Álava,"457.603,43 euros",Procedimiento de contratación abierto,42961200-2 - Sistema Scada o equivalente. 39370000-6 - Instalaciones de tratamiento de aguas,https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expjaso552737/es_doc/index.html?ruta=informacionAmpliadaAnuncios&busquedaAvanzada=,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14651/ejecucion-de-las-obras-de-la-primera-fase-de-desarrollo-del-proyecto-de-digitalizacion-e-integracion-de-instalaciones-en-el-sistema-de-supervision-de-urbide-scada-central-expediente-24-118-financiado-con-fondos-procedentes-del-mecanismo-para-la-recuperacion-y-resiliencia-next-generation-eu-en-el-marco-del-componente-5-preservacion-del-litoral-y-recursos-hidricos-inversion3-denominada-transicion-digital-en-el-sector-del-agua
LICITACION,Ejecución de las obras de la primera fase de desarrollo del proyecto de digitalización e integración de instalaciones en el sistema de supervisión de Urbide: instalaciones periféricas. Expediente 24/119 financiado con fondos procedentes del mecanismo para la recuperación y resiliencia - NEXT GENERATION EU en el marco del componente 5 “preservación del litoral y recursos hídricos” inversión3 denominada “transición digital en el sector del agua”,Urbide Arabako Ur Partzuergoa – Consorcio de Aguas de Álava,ES211 - Araba/Álava,"568.601,11 euros",Procedimiento de contratación abierto,42961200-2 - Sistema Scada o equivalente. 39370000-6 - Instalaciones de tratamiento de aguas,https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/expjaso552766/es_doc/index.html?ruta=informacionAmpliadaAnuncios&busquedaAvanzada=,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14652/ejecucion-de-las-obras-de-la-primera-fase-de-desarrollo-del-proyecto-de-digitalizacion-e-integracion-de-instalaciones-en-el-sistema-de-supervision-de-urbide-instalaciones-perifericas-expediente-24-119-financiado-con-fondos-procedentes-del-mecanismo-para-la-recuperacion-y-resiliencia-next-generation-eu-en-el-marco-del-componente-5-preservacion-del-litoral-y-recursos-hidricos-inversion3-denominada-transicion-digital-en-el-sector-del-agua
LICITACION,Suministro de Radioenlaces IP cn frecuencia licenciada. Expediente 2024/SCON-AIU/000019,Servicios de La Comarca de Pamplona S.A.,ES220-Navarra,"140.444,61 euros",Procedimiento de contratación abierto,32522000 Equipo de telecomunicaciones,https://hacienda.navarra.es/sicpportal/mtoAnunciosModalidad.aspx?Cod=241028095424987D8330,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14673/suministro-de-radioenlaces-ip-cn-frecuencia-licenciada-expediente-2024-scon-aiu-000019
LICITACION,"Aceras en carretera de Arizala en Abárzuza (navarra), obra que está financiada por el plan de recuperación, transformación y resiliencia (programa DUS 5000), financiado por la Unión Europea NEXTGENERATION UE",Ayuntamiento de Abarzuza,ES220-Navarra,"466.675,76 euros",Procedimiento de contratación abierto,45233340 Trabajos de cimentación de aceras,https://hacienda.navarra.es/sicpportal/mtoAnunciosModalidad.aspx?Cod=241022092537A42C685B,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14674/aceras-en-carretera-de-arizala-en-abarzuza-navarra-obra-que-esta-financiada-por-el-plan-de-recuperacion-transformacion-y-resiliencia-programa-dus-5000-financiado-por-la-union-europea-nextgeneration-ue
LICITACION,"SUMINISTRO, INSTALACIÓN, PUESTA EN MARCHA Y FORMACIÓN DE EQUIPOS DE CÓMPUT, VIRTUALIZACIÓN Y SECURIZACIÓN DE LA RED",Fundación Instituto de Bioingeniería de Cataluña,Barcelona,"44.812,74 euros",Procedimiento de contratación abierto,48800000 Sistemas y servidores de información,https://contractaciopublica.cat/ca/detall-publicacio/300290514,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/14722/suministro-instalacion-puesta-en-marcha-y-formacion-de-equipos-de-comput-virtualizacion-y-securizacion-de-la-red
AYUDA/SUBVENCION,"Real Decreto 1124/2024, de 5 de noviembre, por el que se regula la concesión directa de una subvención a Telefónica de España para el proyecto de despliegue de un cable submarino entre la Península y la isla de Gran Canaria, del Mecanismo Conectar Europa-Digital, destinado a reforzar las interconexiones en el territorio del Estado, en el marco del Plan de Recuperación, Transformación y Resiliencia -financiado por la Unión Europea- Next Generation EU",Ministerio para la Transformación Digital y de la Función Pública-V,NACIONAL,,,"TRANSPORTES, TRAFICO Y COMUNICACIONES",https://www.boe.es/boe/dias/2024/11/06/pdfs/BOE-A-2024-22934.pdf,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PAG/349943/real-decreto-1124-2024-de-5-de-noviembre-por-el-que-se-regula-la-concesion-directa-de-una-subvencion-a-telefonica-de-espana-para-el-proyecto-de-despliegue-de-un-cable-submarino-entre-la-peninsula-y-la-isla-de-gran-canaria-del-mecanismo-conectar-europa-digital-destinado-a-reforzar-las-interconexiones-en-el-territorio-del-estado-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-next-generation-eu
LICITACION,"El objeto de la presente licitación es la contratación mediante lotes del servicio para la ejecución y desarrollo de un Marketplace e incorporación de módulo de logística, perteneciente al Plan de Recuperación, Transformación y Resiliencia – Financiado por la Unión Europea – Next Generation EU.","Consejería Delegada de Gestión y Planeamiento Territorial y Medioambiental, S.A.",España - Fuerteventura,"93.102,80 euros",Abierto simplificado,72200000 Servicios de programación de «software» y de consultoría. 72232000 Desarrollo de «software» de procesamiento de transacciones y «software» personalizado. 72267000 Servicios de mantenimiento y reparación de software. 72600000 Servicios de apoyo informático y de consultoría.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=CLrM7fBo8o99PLkba5eRog%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15638937/el-objeto-de-la-presente-licitacion-es-la-contratacion-mediante-lotes-del-servicio-para-la-ejecucion-y-desarrollo-de-un-marketplace-e-incorporacion-de-modulo-de-logistica-perteneciente-al-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-next-generation-eu
LICITACION,Renovación de alumbrado público exterior del Ayuntamiento de Noblejas,Junta de Gobierno del Ayuntamiento de Noblejas,España - Toledo,"377.429,67 euros",Abierto simplificado,31500000 Material de iluminación y lámparas eléctricas. 45112100 Trabajos de excavación de zanjas. 45233340 Trabajos de cimentación de aceras. 45316000 Trabajos de instalación de sistemas de alumbrado y señalización. 45316100 Instalación de equipo de alumbrado exterior.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=WBaNR4UIDEE%2FbjW6njtWLw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15843233/renovacion-de-alumbrado-publico-exterior-del-ayuntamiento-de-noblejas
LICITACION,"Servicio consistente en la implementación y adaptación de un software especializado para la captura y gestión de datos provenientes de dispositivos de conteo de personas, perteneciente al Plan de Recuperación, Transformación y Resiliencia – Financiado por la Unión Europea – Next Generation EU.","Consejería Delegada de Gestión y Planeamiento Territorial y Medioambiental, S.A.",España - Fuerteventura,"81.676,17 euros",Abierto simplificado,72200000 Servicios de programación de «software» y de consultoría. 72230000 Servicios de desarrollo de «software» personalizado. 72267000 Servicios de mantenimiento y reparación de software. 72600000 Servicios de apoyo informático y de consultoría.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=R5E3p1UsHb6TylGzYmBF9Q%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15862064/servicio-consistente-en-la-implementacion-y-adaptacion-de-un-software-especializado-para-la-captura-y-gestion-de-datos-provenientes-de-dispositivos-de-conteo-de-personas-perteneciente-al-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-next-generation-eu
LICITACION,"Trabajos de ejecución de carpintería de PVC y aluminio para la Obra de Ejecución del Proyecto Centro de Primeras Llegadas Las Canteras, T.M. de San Cristóbal de la Laguna, Isla de Tenerife, en el Marco del PRTR","Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",España - Tenerife,"587.500,35 euros",Abierto simplificado,45421150 Trabajos de instalación de carpintería no metálica. 45421160 Trabajos de cerrajería y carpintería metálica.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AV74SKVmL%2BoS7pcxhTeWOg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15862121/trabajos-de-ejecucion-de-carpinteria-de-pvc-y-aluminio-para-la-obra-de-ejecucion-del-proyecto-centro-de-primeras-llegadas-las-canteras-t-m-de-san-cristobal-de-la-laguna-isla-de-tenerife-en-el-marco-del-prtr
LICITACION,Ejecución de las obras de Ampliación del Hotel Balneario de Ariño (Teruel),Pleno del Ayuntamiento de Ariño,España - Teruel,"4.186.338,32 euros",Abierto,45212411 Trabajos de construcción de hoteles. 45215110 Trabajos de construcción de balnearios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=HI1wvMqcERU7%2B9FIQYNjeQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15878926/ejecucion-de-las-obras-de-ampliacion-del-hotel-balneario-de-arino-teruel
LICITACION,"Instalacion de placas fotovoltaicas en la cubierta de dos edificios y marquesinas fotovoltaicas en el Campus de la UIB, incluyendo la instalacion de 14 puntos de carga dobles en aparcamientos, dentro del “Plan de Inversiones para la Transicion Energetica de las Islas Baleares”, en el marco del Plan de Recuperacion, Transformacion y Resiliencia, financiado por la Unión Europea (NextGenerationEU)",Rectorado de la Universidad de les Illes Balears,España - Illes Balears,"754.009,28 euros",Abierto,31158100 Cargadores de baterías. 45223800 Montaje e instalación de estructuras prefabricadas. 45261215 Revestimiento de cubiertas con placas solares. 45310000 Trabajos de instalación eléctrica.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=BmV78ZoXxTJrhBlEHQFSKA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15878928/instalacion-de-placas-fotovoltaicas-en-la-cubierta-de-dos-edificios-y-marquesinas-fotovoltaicas-en-el-campus-de-la-uib-incluyendo-la-instalacion-de-14-puntos-de-carga-dobles-en-aparcamientos-dentro-del-plan-de-inversiones-para-la-transicion-energetica-de-las-islas-baleares-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-nextgenerationeu
LICITACION,"PRTR_Contrato de obras de Rehabilitación integral de edificio para Centro de Recepción de Visitantes, sito en Pza. Jardines de Don Diego nº 3",Alcaldía del Ayuntamiento de Aranda de Duero,España - Burgos,"2.944.915,30 euros",Abierto,45000000 Trabajos de construcción.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=8xOexVLSghicCF8sV%2BqtYA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15878934/prtr-contrato-de-obras-de-rehabilitacion-integral-de-edificio-para-centro-de-recepcion-de-visitantes-sito-en-pza-jardines-de-don-diego-n-3
LICITACION,Contrato de obras relativo al Proyecto de Ejecución del Boulevard de la calle Vara de Rey entre el Passeig de Ponent y la calle Bartolomé Vicente Ramón. Cofinanciado PRTR,Pleno del Ayuntamiento de Sant Antoni de Portmany,España - Illes Balears,"4.374.396,80 euros",Abierto,32523000 Instalaciones de telecomunicaciones. 44162500 Canalización de agua potable. 45210000 Trabajos de construcción de inmuebles. 45232000 Obras auxiliares para tuberías y cables. 45232100 Obras auxiliares para tuberías de agua. 45232130 Trabajos de construcción de canalizaciones de aguas pluviales. 45232150 Trabajos relacionados con tuberías de distribución de agua. 45232400 Obras de alcantarillado. 45232410 Obras de saneamiento. 45232440 Trabajos de construcción de tuberías para aguas residuales. 45233252 Trabajos de pavimentación de calles. 45432112 Colocación de adoquinado.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=d2X1ForN6bHLIx6q1oPaMg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15878940/contrato-de-obras-relativo-al-proyecto-de-ejecucion-del-boulevard-de-la-calle-vara-de-rey-entre-el-passeig-de-ponent-y-la-calle-bartolome-vicente-ramon-cofinanciado-prtr
LICITACION,"Dirección de obras y coordinación de seguridad y salud de la obra de Rehabilitación del edificio del ayuntamiento de Campillo de Altobuey (Cuenca) subvencionado por las Ayudas del programa de Impulso a la Rehabilitación de Edificios Públicos (PIREP) LINEA 2 con fondos Next Generation EU, asignados al Mecanismo de Recuperación y Resiliencia",Alcaldía del Ayuntamiento de Campillo de Altobuey,España - Cuenca,"14.987,19 euros",Abierto simplificado,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección. 71221000 Servicios de arquitectura para edificios. 71223000 Servicios de arquitectura para trabajos de ampliación de edificios.",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=1ueZt1UhwkgaF6cS8TCh%2FA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15888599/direccion-de-obras-y-coordinacion-de-seguridad-y-salud-de-la-obra-de-rehabilitacion-del-edificio-del-ayuntamiento-de-campillo-de-altobuey-cuenca-subvencionado-por-las-ayudas-del-programa-de-impulso-a-la-rehabilitacion-de-edificios-publicos-pirep-linea-2-con-fondos-next-generation-eu-asignados-al-mecanismo-de-recuperacion-y-resiliencia
LICITACION,Suministro de contenedores domésticos y colectivos para recogida de biorresiduos,Alcaldía del Ayuntamiento de Villanueva de la Cañada,España - Madrid,"141.615,63 euros",Abierto simplificado,34928480 Contenedores y cubos de residuos y basura.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=uxViudOofq1VkTabT%2FRM8A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15893897/suministro-de-contenedores-domesticos-y-colectivos-para-recogida-de-biorresiduos
LICITACION,"Suministro de módulos fotovoltaicos para las obras: “Proyecto de modernización del regadío de la Ribera Alta del Porma Canal de Arriola”, en el marco del Plan de Recuperación, Transformación y Resiliencia financiado por la Unión Europea-NextgenerationEU, a adjudicar por procedimiento abierto simplificado.","Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",España - León,"134.240,30 euros",Abierto simplificado,09331000 Placas solares.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=FRAVxMVdCfRVq4S9zvaQpQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15893906/suministro-de-modulos-fotovoltaicos-para-las-obras-proyecto-de-modernizacion-del-regadio-de-la-ribera-alta-del-porma-canal-de-arriola-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-nextgenerationeu-a-adjudicar-por-procedimiento-abierto-simplificado
LICITACION,"Es objeto del presente contrato la ejecución de las obras para la instalación de aerotermia en el Granero del municipio de Villanueva de la Jara (MEDIDA 3) (PROGRAMA DUS 5000), en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Alcaldía del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"255.701,69 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=aI7wNbyher3ua%2Fi14w%2FPLA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900214/es-objeto-del-presente-contrato-la-ejecucion-de-las-obras-para-la-instalacion-de-aerotermia-en-el-granero-del-municipio-de-villanueva-de-la-jara-medida-3-programa-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"Contrato mayor de obras por procedimiento abierto simplificado para la instalación de aerotermia en la Casa de la Cultura del municipio de Villanueva de la Jara (MEDIDA 3)(PROGRAMA DUS 5000), en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Alcaldía del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"174.647,67 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=oFzYP3hbhxAaF6cS8TCh%2FA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900215/contrato-mayor-de-obras-por-procedimiento-abierto-simplificado-para-la-instalacion-de-aerotermia-en-la-casa-de-la-cultura-del-municipio-de-villanueva-de-la-jara-medida-3-programa-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"Es objeto del presente contrato la ejecución de las obras para la instalación de aerotermia en el Ayuntamiento y Consultorio del municipio de Villanueva de la Jara (MEDIDA 3) (PROGRAMA DUS 5000), en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Alcaldía del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"104.876,74 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=8p%2BCMmovi%2FnjHF5qKI4aaw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900217/es-objeto-del-presente-contrato-la-ejecucion-de-las-obras-para-la-instalacion-de-aerotermia-en-el-ayuntamiento-y-consultorio-del-municipio-de-villanueva-de-la-jara-medida-3-programa-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"Trabajos de canalización de fibra óptica para la actuación “obra d’execució de la infraestructura de la xarxa de fibra òptica (fase 2ª). Tram XT00316 a Segrià i tram XT00317a Garrigues Sud” (Lleida)"".","Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",España - Tarragona,"223.408,00 euros",Abierto simplificado,45231112 Instalación de sistema de tuberías.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=RZshy5fo95z10HRJw8TEnQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900222/trabajos-de-canalizacion-de-fibra-optica-para-la-actuacion-obra-dexecucio-de-la-infraestructura-de-la-xarxa-de-fibra-optica-fase-2-tram-xt00316-a-segria-i-tram-xt00317a-garrigues-sud-lleida
LICITACION,"Contrato servicios para la redacción del Proyecto Básico y de Ejecución, Dirección de obras, Estudio y Coordinación de Seguridad y Salud, para la rehabilitación y adecuación del antiguo colegio Moreno de Pedrajas a edificio de usos multiples DENT de Villanueva de Cordoba, Programa Impulso a la Rehabilitacion de Edificios Publicos (PIRED), Plan de Recuperacion, Transformacion y Resiliencia",Alcaldia del Ayuntamiento de Villanueva de Córdoba,España - Córdoba,"83.756,00 euros",Abierto simplificado,"71242000 Elaboración de proyectos y diseños, presupuestos. 71356200 Servicios de asistencia técnica. 71520000 Servicios de supervisión de obras. 72224000 Servicios de consultoría en gestión de proyectos. 79111000 Servicios de asesoría jurídica. 79411000 Servicios generales de consultoría en gestión. 85312320 Servicios de asesoramiento.",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=PtcLyHHaS2HL1rX3q%2FMAPA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900232/contrato-servicios-para-la-redaccion-del-proyecto-basico-y-de-ejecucion-direccion-de-obras-estudio-y-coordinacion-de-seguridad-y-salud-para-la-rehabilitacion-y-adecuacion-del-antiguo-colegio-moreno-de-pedrajas-a-edificio-de-usos-multiples-dent-de-villanueva-de-cordoba-programa-impulso-a-la-rehabilitacion-de-edificios-publicos-pired-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"Mejora del estado de conservación del hábitat, reducción del riesgo de incendios y recuperación de pastizales mediante actuaciones de desbroces en los montes de utilidad pública del concejo de Peñamellera Baja",Alcaldía del Ayuntamiento de Peñamellera Baja,España - Asturias,"68.674,29 euros",Abierto simplificado,45111220 Trabajos de desbrozo. 90522400 Limpieza y tratamiento de terrenos.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=U0jG2FSG%2BwLECtSnloz%2BZQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15900234/mejora-del-estado-de-conservacion-del-habitat-reduccion-del-riesgo-de-incendios-y-recuperacion-de-pastizales-mediante-actuaciones-de-desbroces-en-los-montes-de-utilidad-publica-del-concejo-de-penamellera-baja
LICITACION,"Es objeto del presente contrato la ejecución de las obras de rehabilitación energética del Centro de Día del municipio de Villanueva de la Jara (MEDIDA 1) (PROGRAMA DUS 5000), en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Alcaldía del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"31.326,87 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=XRy673Wd6GPs%2BnLj3vAg5A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15912529/es-objeto-del-presente-contrato-la-ejecucion-de-las-obras-de-rehabilitacion-energetica-del-centro-de-dia-del-municipio-de-villanueva-de-la-jara-medida-1-programa-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"El objeto del contrato es la ejecución de las obras de rehabilitación energética del Granero del municipio de Villanueva de la Jara (MEDIDA 1) (DUS 5000) en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Pleno del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"420.686,84 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=onr2CUlzl7ZVYjgxA4nMUw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15912531/el-objeto-del-contrato-es-la-ejecucion-de-las-obras-de-rehabilitacion-energetica-del-granero-del-municipio-de-villanueva-de-la-jara-medida-1-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
LICITACION,"Es objeto del presente contrato la ejecución de las obras para la instalación de aerotermia en el Centro de Día del municipio de Villanueva de la Jara (MEDIDA 3) (DUS 5000) en el marco del Programa de Regeneración y Reto Demográfico del Plan de Recuperación, Transformación y Resiliencia.",Alcaldía del Ayuntamiento de Villanueva de la Jara,España - Cuenca,"62.128,00 euros",Abierto simplificado,45000000 Trabajos de construcción. 45200000 Trabajos generales de construcción de inmuebles y obras de ingeniería civil. 45300000 Trabajos de instalación en edificios. 45400000 Acabado de edificios.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=g7Vp0cLkkRoZDGvgaZEVxQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/15912532/es-objeto-del-presente-contrato-la-ejecucion-de-las-obras-para-la-instalacion-de-aerotermia-en-el-centro-de-dia-del-municipio-de-villanueva-de-la-jara-medida-3-dus-5000-en-el-marco-del-programa-de-regeneracion-y-reto-demografico-del-plan-de-recuperacion-transformacion-y-resiliencia
